trial,portfolio_w,efficiency_w,construction_w,injury_blend,replacement_scale,injury_gp_min,round_clip_lo,round_clip_hi,qb2_threshold,qb3_threshold,te2_threshold,k_start_round,dst_start_round
1,62.198,31.062,6.74,0.144,1.084,10,0.298,2.052,12,8,8,13,9
2,55.991,33.507,10.502,0.246,1.024,9,0.318,2.48,11,11,6,14,10
3,52.227,36.861,10.912,0.134,0.947,8,0.278,2.36,12,8,6,14,10
4,54.523,36.605,8.872,0.243,1.033,7,0.352,2.116,12,9,6,13,11
5,57.531,37.033,5.436,0.184,1.0,7,0.312,2.093,11,11,5,14,10
6,55.809,33.442,10.749,0.266,0.992,9,0.273,2.409,11,10,7,14,11
7,55.667,39.175,5.158,0.35,0.991,7,0.281,2.073,10,9,8,14,11
8,60.898,31.213,7.889,0.341,0.979,7,0.3,2.089,12,10,7,12,11
9,56.835,38.961,4.204,0.376,0.994,8,0.289,2.363,12,9,5,13,9
10,53.123,37.145,9.732,0.347,1.07,9,0.388,2.091,12,8,8,12,11
11,60.267,33.807,5.927,0.26,1.068,7,0.269,2.205,12,9,7,12,9
12,55.441,34.686,9.873,0.295,0.937,7,0.297,2.243,10,10,8,13,10
13,59.561,35.478,4.961,0.221,1.045,8,0.331,2.382,12,9,8,12,10
14,57.806,34.067,8.127,0.212,1.005,7,0.392,1.953,13,9,7,14,9
15,59.851,31.881,8.268,0.156,0.943,10,0.335,2.128,13,8,5,12,9
16,57.033,32.997,9.969,0.257,0.916,7,0.352,2.304,10,8,6,14,9
17,58.511,35.719,5.77,0.325,1.012,9,0.323,2.013,11,9,6,13,10
18,57.717,34.168,8.116,0.245,0.941,10,0.281,2.33,13,9,5,12,11
19,54.636,37.684,7.68,0.262,0.943,7,0.306,2.415,10,11,7,14,11
20,56.956,34.236,8.808,0.264,0.947,9,0.31,2.39,13,9,5,12,11
21,64.42,30.407,5.172,0.198,1.037,9,0.333,2.224,11,11,5,12,9
22,57.014,34.471,8.515,0.264,1.099,7,0.312,2.252,13,11,5,14,11
23,59.276,36.999,3.724,0.216,0.95,7,0.291,2.113,11,8,8,14,11
24,56.914,36.922,6.164,0.21,0.905,7,0.341,2.418,12,10,8,12,9
25,59.461,34.311,6.228,0.206,0.921,8,0.39,2.113,13,11,7,12,9
26,55.358,37.727,6.916,0.318,0.985,7,0.281,2.301,11,8,5,13,9
27,61.318,31.801,6.881,0.362,1.018,7,0.396,2.423,12,9,5,14,11
28,54.657,36.49,8.853,0.226,0.962,10,0.291,2.05,13,11,8,14,9
29,54.36,34.739,10.901,0.286,1.074,8,0.321,1.902,10,9,7,13,10
30,59.007,32.013,8.979,0.131,0.94,7,0.328,2.271,10,10,8,14,10
31,60.581,33.642,5.776,0.3,0.969,8,0.281,2.278,12,9,5,14,11
32,58.418,36.87,4.712,0.37,1.013,8,0.361,2.385,11,11,5,12,9
33,61.986,31.834,6.18,0.296,0.917,9,0.39,1.939,13,11,6,13,10
34,61.746,34.188,4.066,0.181,1.025,8,0.375,2.061,11,8,7,13,11
35,66.323,28.173,5.504,0.167,0.975,7,0.286,2.297,13,9,5,12,11
36,59.396,31.898,8.706,0.176,0.957,7,0.383,2.403,11,11,7,14,9
37,54.974,36.166,8.86,0.291,0.928,7,0.379,2.441,12,11,7,14,10
38,55.189,40.12,4.691,0.215,1.086,10,0.34,2.318,13,8,8,13,10
39,60.716,31.516,7.767,0.193,1.002,8,0.342,2.142,12,10,8,13,11
40,56.327,36.223,7.45,0.26,1.022,8,0.356,2.008,10,9,6,12,9
41,58.545,32.949,8.506,0.152,1.046,10,0.385,2.077,10,11,7,13,10
42,55.17,33.492,11.338,0.18,1.029,8,0.321,2.199,11,9,5,14,11
43,60.554,28.973,10.472,0.275,0.915,8,0.252,2.285,11,10,6,14,9
44,63.293,32.211,4.497,0.237,0.908,9,0.387,2.144,13,10,6,13,11
45,55.089,36.348,8.564,0.355,0.943,7,0.358,2.001,13,9,5,14,9
46,60.099,36.426,3.475,0.155,1.043,8,0.306,2.198,12,11,8,12,11
47,58.721,33.518,7.76,0.348,0.916,9,0.365,2.34,13,9,8,12,11
48,57.459,34.491,8.05,0.301,0.961,9,0.393,2.353,13,10,5,12,10
49,51.879,38.041,10.08,0.211,0.939,8,0.34,1.959,13,10,8,14,9
50,56.761,36.021,7.218,0.355,0.936,9,0.35,2.172,13,8,8,13,11
51,51.195,37.902,10.902,0.21,1.1,7,0.269,1.901,10,10,7,14,9
